sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_5710_r0	Non-Targeting Control	26.68	222.41	26.68	222.41	3.0128	19156	352.02	10.432	1	9.5746e-26	1.9149e-25	1.1489e-21	True
s_5687_r0	Non-Targeting Control	147.69	525.99	147.69	525.99	1.8255	71555	1948.7	8.5696	1	5.1926e-18	1.0385e-17	3.1156e-14	True
s_3211_r0	LHX6	65.746	304.63	65.746	304.63	2.195	28533	867.48	8.1107	1	2.5493e-16	5.0985e-16	1.0197e-12	True
s_4603_r0	CREB3L4	178.18	556.56	178.18	556.56	1.6377	71584	2351	7.8036	1	3.008e-15	6.0159e-15	9.0239e-12	True
s_616_r0	GBX1	48.595	191.84	48.595	191.84	1.9592	10260	641.18	5.6572	1	7.9117e-09	1.5823e-08	1.8988e-05	True
s_2127_r0	TNFAIP3	1145.3	1735	1145.3	1735	0.59878	1.7388e+05	15112	4.7971	1	8.049e-07	1.6098e-06	0.0016098	True
s_1258_r0	MNT	433.54	94.868	433.54	94.868	-2.1804	57351	5720.4	4.4782	3.7644e-06	1	7.5287e-06	0.0063265	False
s_736_r0	HLF	21.915	98.03	21.915	98.03	2.1115	2896.7	289.16	4.4761	1	4.2177e-06	8.4354e-06	0.0063265	True
s_1760_r0	CCL4	192.47	397.39	192.47	397.39	1.042	20995	2539.6	4.0663	0.99998	2.3889e-05	4.7778e-05	0.031852	True
s_3121_r0	HEY2	824.21	431.12	824.21	431.12	-0.93332	77259	10875	3.7694	8.1809e-05	0.99992	0.00016362	0.09817	False
s_2125_r0	TNFAIP3	314.44	554.45	314.44	554.45	0.8163	28803	4148.8	3.7262	0.9999	9.7188e-05	0.00019438	0.10602	True
s_1510_r0	PDCD1	315.39	82.219	315.39	82.219	-1.9267	27185	4161.4	3.6155	0.00014991	0.99985	0.00029983	0.14991	False
s_5692_r0	Non-Targeting Control	421.16	686.21	421.16	686.21	0.70297	35127	5556.9	3.5556	0.99981	0.00018854	0.00037708	0.17404	True
s_1588_r0	POU4F2	791.81	437.45	791.81	437.45	-0.85458	62788	10448	3.4669	0.0002632	0.99974	0.00052641	0.2256	False
s_4959_r0	ZNF619	1030	634.56	1030	634.56	-0.69798	78196	13591	3.3923	0.0003466	0.99965	0.0006932	0.27728	False
s_3663_r0	ZBTB4	421.16	172.87	421.16	172.87	-1.2798	30823	5556.9	3.3307	0.00043312	0.99957	0.00086624	0.32484	False
s_5544_r0	Non-Targeting Control	356.36	580.8	356.36	580.8	0.70313	25186	4702	3.2731	0.99947	0.00053194	0.0010639	0.37549	True
s_4565_r0	ZNF563	534.55	262.47	534.55	262.47	-1.0234	37013	7053	3.2397	0.00059826	0.9994	0.0011965	0.39884	False
s_5511_r0	Non-Targeting Control	578.38	297.25	578.38	297.25	-0.95797	39515	7631.3	3.2181	0.00064525	0.99935	0.0012905	0.40753	False
s_3594_r0	ATXN7L3	228.68	401.61	228.68	401.61	0.80973	14951	3017.3	3.1481	0.99918	0.00082177	0.0016435	0.49306	True
