sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_2855_r0	BTN2A2	117.41	119.62	117.41	119.62	0.026614	2.4303	820.4	0.076972	0.53067	0.46933	0.93866	0.99981	True
s_3363_r0	ZNF219	166.18	168.81	166.18	168.81	0.022448	3.4367	1161.2	0.076937	0.53066	0.46934	0.93867	0.99981	True
s_5103_r0	FOXD4L4	715.31	709.88	715.31	709.88	-0.010989	14.771	4998.1	0.076881	0.46936	0.53064	0.93872	0.99981	False
s_4735_r0	ZNF467	204.12	201.22	204.12	201.22	-0.020485	4.1816	1426.2	0.076576	0.46948	0.53052	0.93896	0.99981	False
s_3777_r0	NEUROG2	272.76	269.42	272.76	269.42	-0.01771	5.5781	1905.9	0.076509	0.46951	0.53049	0.93901	0.99981	False
s_3274_r0	GRHL1	219.47	222.47	219.47	222.47	0.019464	4.4837	1533.5	0.07647	0.53048	0.46952	0.93905	0.99981	True
s_505_r0	FOXF2	27.998	29.066	27.998	29.066	0.052155	0.56977	195.63	0.076321	0.51953	0.48047	0.96093	0.99981	True
s_199_r0	FOXN3	27.998	29.066	27.998	29.066	0.052155	0.56977	195.63	0.076321	0.51953	0.48047	0.96093	0.99981	True
s_3029_r0	TFEC	466.04	461.7	466.04	461.7	-0.013461	9.406	3256.4	0.076006	0.46971	0.53029	0.93941	0.99981	False
s_214_r0	CCR5	517.52	522.07	517.52	522.07	0.012603	10.349	3616.1	0.075655	0.53015	0.46985	0.93969	0.99981	True
s_4381_r0	SPIC	259.21	256	259.21	256	-0.017894	5.1441	1811.2	0.075368	0.46996	0.53004	0.93992	0.99981	False
s_2818_r0	OLIG2	186.05	183.34	186.05	183.34	-0.021095	3.686	1300	0.075304	0.46999	0.53001	0.93997	0.99981	False
s_4733_r0	ZNF679	254.69	251.53	254.69	251.53	-0.01796	5.0033	1779.6	0.074985	0.47011	0.52989	0.94023	0.99981	False
s_1775_r0	SHOX	59.609	58.132	59.609	58.132	-0.03561	1.0918	416.51	0.07473	0.47021	0.52979	0.94043	0.99981	False
s_2470_r0	ZNF217	59.609	58.132	59.609	58.132	-0.03561	1.0918	416.51	0.07473	0.47021	0.52979	0.94043	0.99981	False
s_2892_r0	MXD4	238.44	241.47	238.44	241.47	0.018157	4.5981	1666	0.074295	0.52961	0.47039	0.94078	0.99981	True
s_5469_r0	Non-Targeting Control	339.59	343.2	339.59	343.2	0.015201	6.5076	2372.9	0.074061	0.52952	0.47048	0.94096	0.99981	True
