id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZNF879	4	0.00022938	0.0010297	0.419554	2	3	-0.60419	0.99473	0.99496	0.998406	1344	0	-0.60419
SOX15	4	0.00062685	0.0022462	0.433522	7	3	-0.49402	0.99135	0.99155	0.998406	1339	0	-0.49402
IRF8	4	0.00026683	0.0012422	0.419554	4	3	-0.4313	0.47652	0.47722	0.986355	653	0	-0.4313
ZNF594	4	0.038764	0.070688	0.885242	107	2	-0.42052	0.99756	0.99764	0.998406	1349	0	-0.42052
ARID5A	4	0.0074763	0.020172	0.709993	37	2	-0.40297	0.93401	0.93416	0.998406	1259	0	-0.40297
HOXB6	4	0.005004	0.013987	0.64703	27	3	-0.40048	0.97494	0.97485	0.998406	1310	0	-0.40048
USF2	4	0.0031856	0.0093916	0.544348	22	3	-0.38903	0.97993	0.97994	0.998406	1319	0	-0.38903
GRHL1	4	0.0018673	0.0058812	0.459354	17	3	-0.36757	0.2917	0.29645	0.986118	401	1	-0.36757
ZBTB4	4	0.0013369	0.0044228	0.459354	12	2	-0.35899	0.60479	0.60571	0.997941	820	0	-0.35899
MNT	4	0.00036998	0.0015867	0.419967	5	2	-0.33497	0.88761	0.8887	0.998406	1188	0	-0.33497
MAFB	4	0.00025974	0.0012129	0.419554	3	3	-0.33441	0.074424	0.11701	0.986118	152	1	-0.33441
UNCX	4	0.0051511	0.014368	0.64703	30	3	-0.32984	0.9137	0.91395	0.998406	1225	0	-0.32984
PDCD1	4	0.0018489	0.0058079	0.459354	16	2	-0.32983	0.7435	0.74411	0.998406	1003	0	-0.32983
MAFF	4	0.047195	0.084195	0.890752	127	2	-0.32948	0.9631	0.96318	0.998406	1296	0	-0.32948
BTNL2	4	0.018544	0.038779	0.806017	65	2	-0.32149	0.94571	0.94569	0.998406	1272	0	-0.32149
ZBTB20	4	0.024895	0.048974	0.836696	79	2	-0.31987	0.9909	0.99109	0.998406	1337	0	-0.31987
SPDEF	4	0.00047735	0.0018651	0.419967	6	2	-0.3054	0.64178	0.64223	0.998406	862	0	-0.3054
NANOG	4	0.0020465	0.0063283	0.459354	18	3	-0.30415	0.99059	0.99075	0.998406	1336	0	-0.30415
SKOR1	4	0.38908	0.3916	0.993631	506	1	-0.29254	0.40126	0.40236	0.986118	547	0	-0.29254
GABPA	4	0.0050772	0.014148	0.64703	29	3	-0.29059	0.9983	0.99841	0.998406	1351	0	-0.29059
MESP1	4	0.079896	0.13399	0.98761	182	2	-0.28949	0.8825	0.88366	0.998406	1182	0	-0.28949
LTB	4	0.01709	0.036398	0.784928	62	2	-0.28783	0.2744	0.28061	0.986118	378	1	-0.28783
MYT1L	4	0.0020876	0.0064602	0.459354	19	3	-0.27534	0.95233	0.95246	0.998406	1278	0	-0.27534
CSF2	4	0.02412	0.047874	0.836696	77	2	-0.27508	0.34552	0.34709	0.986118	471	1	-0.27508
NAIF1	4	0.013844	0.031429	0.77663	54	2	-0.27344	0.65429	0.65483	0.998406	883	0	-0.27344
TRPS1	4	0.0012412	0.004137	0.459354	11	2	-0.27297	0.31539	0.31859	0.986118	432	1	-0.27297
NR1H2	4	0.013621	0.031092	0.77663	53	1	-0.27191	0.37464	0.37563	0.986118	509	1	-0.27191
RFX3	4	0.0016448	0.0052363	0.459354	14	2	-0.27004	0.98713	0.98749	0.998406	1328	0	-0.27004
HOXB9	4	0.044742	0.08023	0.890752	120	1	-0.2615	0.92243	0.92285	0.998406	1240	0	-0.2615
BHLHE22	4	0.0067181	0.018472	0.693207	36	3	-0.26035	0.99382	0.99407	0.998406	1342	0	-0.26035
FOXR2	4	0.0028699	0.0085195	0.544348	21	3	-0.25504	0.98673	0.98705	0.998406	1326	0	-0.25504
MIXL1	4	0.003222	0.0094649	0.544348	23	3	-0.25274	0.1671	0.18903	0.986118	256	1	-0.25274
TFCP2L1	4	0.27324	0.28791	0.993631	373	1	-0.24799	0.99579	0.99599	0.998406	1347	0	-0.24799
SPI1	4	0.0017245	0.0054855	0.459354	15	3	-0.24617	0.36889	0.36969	0.986118	501	1	-0.24617
SIM2	4	0.014448	0.03236	0.77663	56	2	-0.24493	0.96018	0.96033	0.998406	1291	0	-0.24493
