id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PRDM15	4	0.61285	0.61345	0.996523	810	0	0.002895	0.018738	0.047163	0.941308	56	1	0.002895
MEOX2	4	0.55138	0.55191	0.996523	731	0	0.12369	0.019468	0.048248	0.941308	57	2	0.12369
ARNTL2	3	0.49946	0.49713	0.996523	654	0	0.041695	0.019575	0.038347	0.941308	58	1	0.041695
NR5A2	4	0.9655	0.96585	0.996523	1302	0	0.22528	0.019934	0.048871	0.941308	59	2	0.22528
ZNF791	4	0.55663	0.5577	0.996523	740	0	0.043122	0.020171	0.04923	0.941308	60	2	0.043122
ZNF530	4	0.49671	0.49743	0.996523	650	1	0.080156	0.020197	0.049281	0.941308	61	1	0.080156
SMARCB1	4	0.19324	0.25207	0.981867	346	1	0.15687	0.020767	0.050146	0.941308	62	2	0.15687
MEF2D	4	0.52991	0.53084	0.996523	696	0	0.21177	0.020887	0.050329	0.941308	63	2	0.21177
IRX1	4	0.28078	0.3147	0.996523	422	1	-0.058353	0.020925	0.050381	0.941308	64	1	-0.058353
KLF16	4	0.061417	0.10922	0.954076	149	2	-0.020094	0.021007	0.050498	0.941308	65	2	-0.020094
ZNF561	4	0.8623	0.86347	0.996523	1147	0	0.088595	0.021654	0.051561	0.941308	66	1	0.088595
ZNF492	4	0.46457	0.46786	0.996523	617	1	0.14292	0.021675	0.05159	0.941308	67	2	0.14292
ZNF322	4	0.17032	0.23623	0.981867	322	1	-0.044951	0.022381	0.052785	0.941308	68	1	-0.044951
KLF5	4	0.65496	0.65557	0.996523	867	0	0.18125	0.022477	0.052953	0.941308	69	2	0.18125
FOXJ1	4	0.68242	0.68253	0.996523	911	0	-0.07952	0.023109	0.05392	0.941308	70	1	-0.07952
ONECUT2	4	0.26915	0.30578	0.996523	408	1	0.06503	0.023736	0.054851	0.941308	71	2	0.06503
HOXB3	4	0.084162	0.14179	0.954076	198	2	0.0080215	0.023836	0.055005	0.941308	72	1	0.0080215
ZNF343	4	0.59474	0.59551	0.996523	781	0	0.12107	0.023864	0.055071	0.941308	73	2	0.12107
