D1_unreated
D1_B56_CBE_0-2_ul
D1_B56_CBE_2_ul
D1_B56_CBE_20_ul
D1_A14_NGG-ABE_0-2_ul
D1_A14_NGG-ABE_2_ul
D1_A14_NGG-ABE_20_ul
D2_unreated
D2_B56_CBE_0-2_ul
D2_B56_CBE_2_ul
D2_B56_CBE_20_ul
D2_A14_NGG-ABE_0-2_ul
D2_A14_NGG-ABE_2_ul
D2_A14_NGG-ABE_20_ul
D3_unreated
D3_B56_CBE_0-2_ul
D3_B56_CBE_2_ul
D3_B56_CBE_20_ul
D3_A14_NGG-ABE_0-2_ul
D3_A14_NGG-ABE_2_ul
D3_A14_NGG-ABE_20_ul
D4_unreated
D4_B56_CBE_0-2_ul
D4_B56_CBE_2_ul
D4_B56_CBE_20_ul
D4_A14_NGG-ABE_0-2_ul
D4_A14_NGG-ABE_2_ul
D4_A14_NGG-ABE_20_ul
D1_A14_A90
D1_A14_B96
D1_A14_B97
D1_A14_B98
D1_A14_B99
D1_A14_B100
D1_A14_C01
D1_BE_untreated
D2_A14_A90
D2_A14_B96
D2_A14_B97
D2_A14_B98
D2_A14_B99
D2_A14_B100
D2_A14_C01
D2_BE_untreated
