TNFAIP3_g1_D1
TNFAIP3_g1_D2
TNFAIP3_g1_D3
TNFAIP3_g1_D4
TNFAIP3_g1_D5
TNFAIP3_g1_D6
TNFAIP3_g2_D1
TNFAIP3_g2_D2
TNFAIP3_g2_D3
TNFAIP3_g2_D4
TNFAIP3_g2_D5
TNFAIP3_g2_D6
ZFP36_g1_D1
ZFP36_g1_D2
ZFP36_g1_D3
ZFP36_g1_D4
ZFP36_g1_D5
ZFP36_g1_D6
ZFP36_g2_D1
ZFP36_g2_D2
ZFP36_g2_D3
ZFP36_g2_D4
ZFP36_g2_D5
ZFP36_g2_D6
DUSP1_g1_D1
DUSP1_g1_D2
DUSP1_g1_D3
DUSP1_g1_D4
DUSP1_g1_D5
DUSP1_g1_D6
DUSP1_g2_D1
DUSP1_g2_D2
DUSP1_g2_D3
DUSP1_g2_D4
DUSP1_g2_D5
DUSP1_g2_D6
MITF_g1_D1
MITF_g1_D2
MITF_g1_D3
MITF_g1_D4
MITF_g1_D5
MITF_g1_D6
MITF_g2_D1
MITF_g2_D2
MITF_g2_D3
MITF_g2_D4
MITF_g2_D5
MITF_g2_D6
FOS_g1_D1
FOS_g1_D2
FOS_g1_D3
FOS_g1_D4
FOS_g1_D5
FOS_g1_D6
FOS_g2_D1
FOS_g2_D2
FOS_g2_D3
FOS_g2_D4
FOS_g2_D5
FOS_g2_D6
TNF_g1_D1
TNF_g1_D2
TNF_g1_D3
TNF_g1_D4
TNF_g1_D5
TNF_g1_D6
TNF_g2_D1
TNF_g2_D2
TNF_g2_D3
TNF_g2_D4
TNF_g2_D5
TNF_g2_D6
TLR4_g1_D1
TLR4_g1_D2
TLR4_g1_D3
TLR4_g1_D4
TLR4_g1_D5
TLR4_g1_D6
TLR4_g2_D1
TLR4_g2_D2
TLR4_g2_D3
TLR4_g2_D4
TLR4_g2_D5
TLR4_g2_D6
TICAM2_g1_D1
TICAM2_g1_D2
TICAM2_g1_D3
TICAM2_g1_D4
TICAM2_g1_D5
TICAM2_g1_D6
TICAM2_g2_D1
TICAM2_g2_D2
TICAM2_g2_D3
TICAM2_g2_D4
TICAM2_g2_D5
TICAM2_g2_D6
CD14_g1_D1
CD14_g1_D2
CD14_g1_D3
CD14_g1_D4
CD14_g1_D5
CD14_g1_D6
CD14_g2_D1
CD14_g2_D2
CD14_g2_D3
CD14_g2_D4
CD14_g2_D5
CD14_g2_D6
MAP3K8_g1_D1
MAP3K8_g1_D2
MAP3K8_g1_D3
MAP3K8_g1_D4
MAP3K8_g1_D5
MAP3K8_g1_D6
MAP3K8_g2_D1
MAP3K8_g2_D2
MAP3K8_g2_D3
MAP3K8_g2_D4
MAP3K8_g2_D5
MAP3K8_g2_D6
