"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
1678.84811128475,-4.84749539349141,0.178519086843847,1.22132567647501e-162,1.99405843198075e-158,"ENSG00000137959.17"
404.689334864189,-3.17131940002549,0.153375712168714,1.9532106782524e-96,1.59450353719135e-92,"ENSG00000134326.12"
633.820380522655,-2.3233976257287,0.134957262990489,1.50084495202651e-67,8.16809851057895e-64,"ENSG00000279296.1"
530.375935615945,-2.3300417639515,0.136253003720498,4.39444172842396e-67,1.79370125249945e-63,"ENSG00000137965.11"
657.529110690894,-2.29129174387084,0.137927701766041,3.73896897639912e-63,1.22092292955337e-59,"ENSG00000132530.17"
843.45050165916,-2.19615764742076,0.135233234567679,2.11520635096179e-60,5.75582901535886e-57,"ENSG00000111331.14"
5776.49541925204,-4.6232105991743,0.293216706049049,1.58324951751984e-58,3.69281641036377e-55,"ENSG00000165949.13"
278.763143920927,-2.04219330944226,0.130033218436669,8.49603107942333e-57,1.54590053086314e-53,"ENSG00000185507.21"
772.838823383478,-2.27324160588652,0.145120777718294,8.52153168234722e-57,1.54590053086314e-53,"ENSG00000111335.14"
623.021599492164,-1.54955105269591,0.102091906687463,6.34556868237732e-53,1.03604099877174e-49,"ENSG00000138496.17"
1305.70149938319,-2.78112534095148,0.193766824583897,4.61733683801425e-48,6.85338714129624e-45,"ENSG00000119917.15"
673.234744041297,-3.47902479766922,0.267094058694994,2.24522639871911e-40,3.05481761765724e-37,"ENSG00000134321.13"
250.862629738752,-1.93158303930544,0.150120775023398,5.88066652236345e-39,7.38566479312523e-36,"ENSG00000138646.9"
185.762654787914,-2.27140703308395,0.17996393161165,9.75473471335103e-38,1.1376110976063e-34,"ENSG00000184979.11"
505.857395547377,-1.61598714301613,0.130218884081048,1.44467646740628e-36,1.57248217888949e-33,"ENSG00000177409.12"
2998.43692617629,-2.61526399477917,0.213824570113717,5.39307026662952e-36,5.50329114020376e-33,"ENSG00000160932.11"
166.888756276656,-2.41659020271821,0.203129833316897,6.98320437685352e-34,6.70675163887573e-31,"ENSG00000130589.16"
1877.5839063039,-2.23595925109425,0.191717821807575,6.78045909671039e-33,6.15025309288836e-30,"ENSG00000157601.15"
797.0991910132,-3.09856008975518,0.267657180607903,1.85172627914733e-32,1.59121762945465e-29,"ENSG00000185745.10"
133.985843995236,-2.33434668383476,0.200943536246957,2.26967577522447e-32,1.8528498191045e-29,"ENSG00000288811.2"
703.084410069549,-1.60336443492659,0.142279199446827,9.35069497473495e-31,7.26994270726179e-28,"ENSG00000133106.15"
1285.0683233582,-1.4188504767392,0.126289968124792,1.19454246254686e-30,8.86513399363756e-28,"ENSG00000188313.13"
693.292170560592,-1.6297457680339,0.146761284171108,7.03846746338972e-30,4.99639383803322e-27,"ENSG00000055332.19"
949.441421313622,-1.57240936470122,0.143484036321267,2.93862011995389e-29,1.99911877910363e-26,"ENSG00000108679.13"
8675.96886393307,-2.69606850270896,0.249557874863437,4.14500407214517e-29,2.70701925943657e-26,"ENSG00000110651.13"
473.109046159588,-1.231148431018,0.112907019831354,5.33753960278849e-29,3.2276299664714e-26,"ENSG00000115267.10"
902.932160011083,-1.31150395679872,0.120174495563372,5.17130335436325e-29,3.2276299664714e-26,"ENSG00000132274.17"
268.106563763458,-1.08364565119294,0.0993969046409427,5.62626256259165e-29,3.28071388783693e-26,"ENSG00000136816.16"
126.514911626183,-2.49966096666202,0.231289335617288,8.5512017602736e-29,4.81432659103404e-26,"ENSG00000167601.12"
1611.82625970972,-1.39170346430145,0.129161506888105,4.00581923674568e-28,2.18010035594489e-25,"ENSG00000115415.21"
799.372446536077,-1.29244016445289,0.122776730195281,4.07730881431845e-27,2.14742648423798e-24,"ENSG00000135899.20"
78.4056914228113,-1.9627387307079,0.187864592733497,1.04368925573515e-26,5.32509827449617e-24,"ENSG00000138642.16"
240.095123715396,-1.32057670540655,0.126768072627023,1.28251047470253e-26,6.34531773347519e-24,"ENSG00000288684.1"
229.704802685981,-1.51824373101174,0.146299076510006,2.11839532210566e-26,1.01726589482409e-23,"ENSG00000107201.11"
252.024884353763,-1.15067423375867,0.113308652088757,1.185173117481e-25,5.5286632826035e-23,"ENSG00000122643.23"
272.323261919598,-2.7159655308411,0.271862615775661,6.08649605803971e-25,2.76039503165595e-22,"ENSG00000108700.5"
